gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
100,2,37,1,0.010816883001098176,0.42964384500010055,0.44046072800119873,1.0,1.0
100,2,31,21,0.41226569799982826,0.1681158570027037,0.580381555002532,1.0,0.5
100,2,22,1,0.009548729001835454,0.11754304199712351,0.12709177099895896,1.0,0.25
100,3,16,2,0.0480803870013915,0.030201769000996137,0.07828215600238764,0.25,1.0
100,3,16,6,0.054529263001313666,0.026268057998095173,0.08079732099940884,0.5,1.0
100,3,67,4,0.05813164700157358,0.8255147509989911,0.8836463980005647,1.0,1.0
100,3,63,13,0.11749875700115808,0.041862275000312366,0.15936103200147045,1.0,0.5
100,3,51,6,0.06386971300162259,0.8633800850002444,0.927249798001867,1.0,0.25
100,4,36,4,0.06839191499966546,0.04979052899943781,0.11818244399910327,0.25,1.0
100,4,27,1,0.012683291999564972,0.23162478100130102,0.244308073000866,0.5,1.0
100,4,42,7,0.09508478199859383,0.4963604389995453,0.5914452209981391,1.0,1.0
100,4,44,30,0.758001404999959,0.20473166599913384,0.9627330709990929,1.0,0.5
100,4,18,10,0.05833893400267698,0.07967744099732954,0.13801637500000652,1.0,0.25
100,5,18,13,0.15092731400000048,0.11777564300064114,0.2687029570006416,0.25,1.0
100,5,66,8,0.16742822800006252,0.473760590000893,0.6411888180009555,0.5,1.0
100,5,2,3,0.02809640800114721,0.007874486000218894,0.035970894001366105,1.0,1.0
100,5,15,12,0.13458751999860397,0.09363196800040896,0.22821948799901293,1.0,0.5
100,5,21,17,0.3619996980014548,0.16807204200085835,0.5300717400023132,1.0,0.25
150,1,25,24,1.8277153339986398,0.5386132540006656,2.3663285879993055,0.25,1.0
150,1,19,1,0.015465799999219598,0.11375685099847033,0.12922265099768993,0.5,1.0
150,1,34,4,0.08195747699937783,0.13627351300237933,0.21823099000175716,1.0,1.0
150,1,65,22,1.021165640999243,0.4339144709992979,1.4550801119985408,1.0,0.5
150,1,47,4,0.06517065899970476,0.0918726029995014,0.15704326199920615,1.0,0.25
150,2,63,18,0.4757863209997595,0.5716875059988524,1.047473826998612,0.25,1.0
150,2,45,9,0.16940647999945213,0.16445847600334673,0.33386495600279886,0.5,1.0
150,2,59,5,0.12364197799979593,0.34504154400201514,0.46868352200181107,1.0,1.0
150,2,25,8,0.2041717520005477,0.8681826339998224,1.0723543860003701,1.0,0.5
150,2,39,10,0.22285284400277305,0.5987559629975294,0.8216088070003025,1.0,0.25
150,3,61,3,0.05130796799858217,0.32837860799918417,0.37968657599776634,0.25,1.0
150,3,53,1,0.022610302999964915,1.6099669789982727,1.6325772819982376,0.5,1.0
