gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
150,5,11,4,0.0863058179966174,4.770045052282512e-07,0.08630629500112263,1.0,0.25
200,1,51,3,0.11342484300257638,1.5700061339884996e-07,0.11342500000318978,0.25,1.0
200,1,19,3,0.08361241599777713,1.630032784305513e-07,0.08361257900105556,0.5,1.0
200,1,35,2,0.0631583260037587,1.5999830793589354e-07,0.06315848600206664,1.0,1.0
200,1,30,6,0.17517206300544785,1.9399885786697268e-07,0.17517225700430572,1.0,0.5
200,1,57,8,0.37425887999415863,1.6900594346225262e-07,0.3742590490001021,1.0,0.25
200,2,11,3,0.09658472300361609,3.0099909054115415e-07,0.09658502400270663,0.25,1.0
200,2,46,6,0.2437683210009709,1.9299477571621537e-07,0.24376851399574662,0.5,1.0
200,2,35,5,0.14291652999963844,1.66997779160738e-07,0.1429166969974176,1.0,1.0
200,2,43,4,0.1557897739985492,2.00001522898674e-07,0.1557899740000721,1.0,0.5
200,2,2,2,0.04671068199968431,4.6499917516484857e-07,0.046711146998859476,1.0,0.25
200,3,17,5,0.20857014499779325,2.00001522898674e-07,0.20857034499931615,0.25,1.0
200,3,49,5,0.2779886530042859,2.2399763111025095e-07,0.277988877001917,0.5,1.0
200,3,58,5,0.22454284400009783,2.2400490706786513e-07,0.2245430680050049,1.0,1.0
200,3,9,2,0.051457831999869086,4.070025170221925e-07,0.05145823900238611,1.0,0.5
200,3,53,1,0.04022118600551039,2.0999868866056204e-07,0.04022139600419905,1.0,0.25
200,4,70,42,4.412230016001558,2.180022420361638e-07,4.4122302340038,0.25,1.0
200,4,57,11,1.0839423139987048,4.1000021155923605e-07,1.0839427239989163,0.5,1.0
200,4,13,2,0.05605393299629213,4.1100429370999336e-07,0.05605434400058584,1.0,1.0
200,4,59,5,0.20139946999552194,1.860025804489851e-07,0.2013996559981024,1.0,0.5
200,4,36,1,0.03444691800541477,2.1899904822930694e-07,0.034447137004463,1.0,0.25
200,5,54,21,2.3312301760015544,1.540029188618064e-07,2.331230330004473,0.25,1.0
200,5,46,1,0.03580378599872347,1.7799902707338333e-07,0.03580396399775054,0.5,1.0
200,5,67,1,0.040569557997514494,1.9399885786697268e-07,0.04056975199637236,1.0,1.0
200,5,3,3,0.1176794479979435,4.1799648897722363e-07,0.11767986599443248,1.0,0.5
200,5,27,1,0.04536349100089865,2.439992385916412e-07,0.04536373500013724,1.0,0.25
250,1,31,4,0.1587813689984614,2.3000029614195228e-07,0.15878159899875754,0.25,1.0
250,1,16,5,0.3120250020001549,1.809967216104269e-07,0.31202518299687654,0.5,1.0
250,1,13,2,0.06760474499606062,1.4200486475601792e-07,0.06760488700092537,1.0,1.0
250,1,70,1,0.0594542190010543,1.540029188618064e-07,0.05945437300397316,1.0,0.5
250,1,54,7,0.5713162280007964,1.9900471670553088e-07,0.5713164270055131,1.0,0.25
250,2,30,8,0.5354411130028893,1.629960024729371e-07,0.5354412759988918,0.25,1.0
250,2,35,3,0.10133655300160171,1.8100399756804109e-07,0.10133673400559928,0.5,1.0
250,2,56,4,0.17119256900332402,2.270026016049087e-07,0.17119279600592563,1.0,1.0
250,2,12,1,0.0334636799962027,1.8699938664212823e-07,0.03346386699558934,1.0,0.5
250,2,44,2,0.07878276200062828,1.9599974621087313e-07,0.07878295800037449,1.0,0.25
250,3,20,18,2.164558454998769,3.710010787472129e-07,2.1645588259998476,0.25,1.0
250,3,61,6,0.4721684560063295,2.169981598854065e-07,0.4721686730044894,0.5,1.0
250,3,49,1,0.05071129399584606,2.169981598854065e-07,0.05071151099400595,1.0,1.0
250,3,28,2,0.0669427690008888,1.9800063455477357e-07,0.06694296700152336,1.0,0.5
250,3,37,8,0.9245485930005088,1.5499972505494952e-07,0.9245487480002339,1.0,0.25
250,4,10,5,0.3312320879995241,3.349996404722333e-07,0.33123242299916456,0.25,1.0
250,4,61,2,0.09495846399659058,1.6500416677445173e-07,0.09495862900075736,0.5,1.0
250,4,39,4,0.3311881589979748,3.6499841371551156e-07,0.33118852399638854,1.0,1.0
250,4,64,5,0.3846867050015135,6.219997885636985e-07,0.38468732700130204,1.0,0.5
250,4,38,4,0.2311699639976723,1.9500294001773e-07,0.23117015900061233,1.0,0.25
250,5,21,4,0.21285371400153963,2.2400490706786513e-07,0.2128539380064467,0.25,1.0
250,5,37,1,0.044485425001767,2.039960236288607e-07,0.04448562899779063,0.5,1.0
250,5,29,13,1.3945798940039822,1.7799902707338333e-07,1.3945800720030093,1.0,1.0
250,5,40,4,0.12712930500129005,1.9699655240401626e-07,0.12712950199784245,1.0,0.5
250,5,30,4,0.29787020499497885,3.4600088838487864e-07,0.29787055099586723,1.0,0.25
300,1,61,21,9.563284250005381,1.9800063455477357e-07,9.563284448006016,0.25,1.0
300,1,22,3,0.2339817239990225,1.7099955584853888e-07,0.23398189499857835,0.5,1.0
300,1,8,1,0.05601095600286499,2.1400046534836292e-07,0.056011170003330335,1.0,1.0
300,1,65,3,0.15269761300442042,1.8799619283527136e-07,0.15269780100061325,1.0,0.5
300,1,35,20,3.1993093060009414,1.9300205167382956e-07,3.199309499002993,1.0,0.25
300,2,24,1,0.06957698100450216,2.979941200464964e-07,0.0695772789986222,0.25,1.0
300,2,23,8,0.8863011909998022,3.429959178902209e-07,0.8863015339957201,0.5,1.0
300,2,20,12,2.310162721994857,1.8800346879288554e-07,2.3101629099983256,1.0,1.0
300,2,46,19,3.7094878089992562,2.079978003166616e-07,3.7094880169970565,1.0,0.5
300,2,46,4,0.35146813900064444,2.0099832909181714e-07,0.35146833999897353,1.0,0.25
300,3,3,2,0.11541477600258077,3.449968062341213e-07,0.115415120999387,0.25,1.0
300,3,15,2,0.11530912500165869,1.9100116332992911e-07,0.11530931600282202,0.5,1.0
300,3,63,6,0.37609578300180146,2.1400046534836292e-07,0.3760959970022668,1.0,1.0
300,3,21,2,0.07848745599767426,1.8699938664212823e-07,0.0784876429970609,1.0,0.5
300,3,23,15,3.1489480269956402,2.3200118448585272e-07,3.1489482589968247,1.0,0.25
300,4,46,3,0.17206413199892268,1.989974407479167e-07,0.17206433099636342,0.25,1.0
300,4,11,1,0.051570581999840215,1.7999991541728377e-07,0.05157076199975563,0.5,1.0
300,4,45,3,0.2582929729978787,2.0100560504943132e-07,0.2582931740034837,1.0,1.0
300,4,42,1,0.06360606300586369,1.8799619283527136e-07,0.06360625100205652,1.0,0.5
300,4,63,1,0.0716831270037801,1.539956429041922e-07,0.071683280999423,1.0,0.25
300,5,36,2,0.11061985800188268,1.7399725038558245e-07,0.11062003199913306,0.25,1.0
300,5,55,8,0.6689359169977251,1.9699655240401626e-07,0.6689361139942775,0.5,1.0
300,5,40,2,0.0929140020016348,1.8799619283527136e-07,0.09291418999782763,1.0,1.0
300,5,20,1,0.05408782599988626,1.9699655240401626e-07,0.05408802299643867,1.0,0.5
300,5,57,2,0.11120995799865341,2.4800101527944207e-07,0.11121020599966869,1.0,0.25
350,1,11,1,0.07573634500295157,2.390006557106972e-07,0.07573658400360728,0.25,1.0
350,1,11,7,0.8904475730014383,5.219990271143615e-07,0.8904480950004654,0.5,1.0
350,1,28,1,0.0747913220038754,2.0599691197276115e-07,0.07479152800078737,1.0,1.0
350,1,69,1,0.09499664699978894,1.7000274965539575e-07,0.09499681700253859,1.0,0.5
350,1,15,2,0.21422266199806472,6.379996193572879e-07,0.21422329999768408,1.0,0.25
350,2,11,10,1.7545871330003138,3.4999538911506534e-07,1.7545874829957029,0.25,1.0
350,2,34,2,0.19544673400378088,1.449952833354473e-07,0.1954468789990642,0.5,1.0
350,2,65,2,0.1961171859948081,1.6400008462369442e-07,0.19611734999489272,1.0,1.0
350,2,29,18,3.463883332995465,2.580054569989443e-07,3.463883591000922,1.0,0.5
350,2,25,5,0.5204711650003446,1.9199796952307224e-07,0.5204713569983141,1.0,0.25
350,3,53,4,0.2739063510016422,2.1100277081131935e-07,0.273906562004413,0.25,1.0
350,3,21,1,0.066862776002381,1.9300205167382956e-07,0.06686296900443267,0.5,1.0
350,3,49,5,0.7649010300010559,2.0999868866056204e-07,0.7649012399997446,1.0,1.0
350,3,27,6,0.6706466329997056,2.0700099412351847e-07,0.6706468400006997,1.0,0.5
350,3,6,5,0.5270844459955697,3.860041033476591e-07,0.527084831999673,1.0,0.25
350,4,31,3,0.2474385089954012,3.180030034855008e-07,0.2474388269984047,0.25,1.0
350,4,64,3,0.20723462200112408,1.8699938664212823e-07,0.20723480900051072,0.5,1.0
350,4,18,1,0.09334922300331527,3.480017767287791e-07,0.093349571005092,1.0,1.0
350,4,19,1,0.07406548500148347,1.7999991541728377e-07,0.07406566500139888,1.0,0.5
350,4,46,6,0.5510115159995621,1.8100399756804109e-07,0.5510116970035597,1.0,0.25
350,5,60,2,0.1471940880001057,1.7400452634319663e-07,0.14719426200463204,0.25,1.0
350,5,46,10,2.2890709589992184,1.6100239008665085e-07,2.2890711200016085,0.5,1.0
350,5,5,5,0.4094114300023648,1.6199919627979398e-07,0.4094115920015611,1.0,1.0
350,5,3,2,0.14554925500124227,5.019974196329713e-07,0.1455497569986619,1.0,0.5
350,5,65,6,0.7425714750061161,2.0599691197276115e-07,0.7425716810030281,1.0,0.25
400,1,28,7,0.7779754020011751,1.7799902707338333e-07,0.7779755800002022,0.25,1.0
400,1,16,1,0.10157872799754841,3.8200232665985823e-07,0.10157910999987507,0.5,1.0
400,1,60,9,1.97740129900194,2.4199835024774075e-07,1.9774015410002903,1.0,1.0
400,1,57,4,0.6538482640025904,1.9300205167382956e-07,0.6538484570046421,1.0,0.5
400,1,9,2,0.19559759000549093,2.2399763111025095e-07,0.19559781400312204,1.0,0.25
400,2,61,4,0.6647316590024275,1.9100116332992911e-07,0.6647318500035908,0.25,1.0
400,2,6,7,0.947111743997084,5.100009730085731e-07,0.947112253998057,0.5,1.0
400,2,15,1,0.11902107599598821,3.3799733500927687e-07,0.11902141399332322,1.0,1.0
400,2,38,1,0.08878333599568577,2.310043782927096e-07,0.08878356700006407,1.0,0.5
400,2,50,2,0.17677527500200085,2.079978003166616e-07,0.17677548299980117,1.0,0.25
400,3,21,3,0.3621679869975196,2.270026016049087e-07,0.3621682140001212,0.25,1.0
400,3,36,15,7.754670715999964,2.1099549485370517e-07,7.754670926995459,0.5,1.0
400,3,66,15,3.5076373900010367,1.899970811791718e-07,3.507637579998118,1.0,1.0
400,3,27,1,0.09001925800112076,1.579974195919931e-07,0.09001941599854035,1.0,0.5
400,3,9,1,0.08692171999427956,1.7999991541728377e-07,0.08692189999419497,1.0,0.25
400,4,19,10,1.5627257259984617,2.5700137484818697e-07,1.5627259829998366,0.25,1.0
400,4,34,3,0.29015604800224537,1.9599974621087313e-07,0.2901562440019916,0.5,1.0
400,4,28,3,0.22960731999773998,1.7300044419243932e-07,0.22960749299818417,1.0,1.0
400,4,63,14,3.442120337000233,2.2299354895949364e-07,3.442120559993782,1.0,0.5
400,4,43,2,0.21158799400291173,1.9499566406011581e-07,0.2115881889985758,1.0,0.25
400,5,45,8,1.1787492180010304,1.860025804489851e-07,1.1787494040036108,0.25,1.0
400,5,66,5,0.8939782899979036,2.2000313038006425e-07,0.893978510001034,0.5,1.0
400,5,65,9,2.1570100690005347,4.869943950325251e-07,2.1570105559949297,1.0,1.0
400,5,41,16,2.93234315400332,2.1600135369226336e-07,2.9323433700046735,1.0,0.5
400,5,7,1,0.09579553799994756,3.1899980967864394e-07,0.09579585699975723,1.0,0.25
450,1,32,2,0.3923892689999775,3.8199505070224404e-07,0.3923896509950282,0.25,1.0
450,1,46,1,0.20693738000409212,4.539979272522032e-07,0.20693783400201937,0.5,1.0
450,1,46,1,0.12957426800130634,2.1999585442245007e-07,0.12957448799716076,1.0,1.0
450,1,44,1,0.11915984899678733,1.8900027498602867e-07,0.11916003799706232,1.0,0.5
450,1,13,1,0.12564309400477214,2.1400046534836292e-07,0.1256433080052375,1.0,0.25
450,2,64,3,0.4208389760024147,1.770022208802402e-07,0.4208391530046356,0.25,1.0
450,2,63,4,0.5527677290010615,1.8299760995432734e-07,0.5527679119986715,0.5,1.0
450,2,38,11,1.3049063139987993,1.5700061339884996e-07,1.3049064709994127,1.0,1.0
