u,v,weight
947,948,38
586,587,38
32,33,38
65,66,38
276,277,38
401,402,38
11,723,1
585,586,38
254,895,3
256,257,38
197,198,38
289,290,38
323,324,38
507,508,38
508,509,38
843,844,38
481,482,38
876,877,38
75,343,1
725,726,38
46,47,38
607,608,38
949,950,38
950,951,38
422,423,38
152,153,38
93,94,38
185,186,38
337,338,38
370,371,38
382,583,4
706,707,38
285,286,38
529,530,38
772,773,38
33,34,38
713,714,38
66,67,38
100,101,37
192,193,37
299,300,37
230,713,3
483,484,37
306,307,37
231,798,3
0,326,5
246,247,37
312,313,37
367,756,5
445,446,37
75,76,37
23,24,37
56,57,37
200,722,4
493,984,5
459,460,37
97,98,37
979,980,37
920,921,37
695,919,4
11,12,37
894,895,37
155,156,37
288,289,37
96,97,37
18,19,37
229,230,37
598,599,37
874,875,37
85,86,37
539,540,37
546,547,37
578,579,37
84,85,37
191,192,37
393,394,37
183,184,37
895,896,37
172,173,37
325,649,5
599,600,37
540,541,37
19,20,37
171,172,37
916,917,37
480,481,37
421,422,37
219,220,37
311,312,37
344,345,37
419,990,4
686,687,37
444,445,36
242,418,3
853,854,36
298,299,36
667,668,36
723,852,1
582,583,36
675,676,36
153,154,36
774,775,36
83,243,4
352,353,36
821,822,36
795,796,36
251,696,3
584,585,36
381,382,36
4,5,36
591,592,36
380,381,36
822,823,36
771,772,36
467,891,3
224,853,1
828,985,3
230,231,36
818,819,36
53,54,36
226,242,5
218,219,36
429,430,36
496,497,36
251,252,35
661,662,35
722,776,1
199,200,35
668,669,35
398,399,35
852,853,35
918,919,35
372,373,35
163,985,5
31,32,35
418,419,35
392,393,35
889,890,35
198,199,35
164,658,5
890,891,35
810,898,4
81,82,34
417,418,34
478,479,34
82,83,34
695,696,34
307,308,34
76,244,1
775,776,34
216,798,2
579,580,34
250,251,34
243,727,10
34,35,34
694,695,33
76,77,33
688,689,33
828,829,33
344,492,1
129,896,3
935,936,33
917,918,33
1,253,1
687,688,32
325,326,32
365,366,32
648,649,32
708,709,32
216,224,4
596,597,32
492,493,32
366,367,32
491,492,32
827,828,32
809,810,32
1,129,2
162,163,32
934,935,32
210,211,32
756,757,32
0,468,2
896,897,32
810,811,32
245,246,32
495,496,32
647,648,32
184,185,32
225,226,31
324,325,31
590,591,31
755,756,31
709,710,31
528,529,31
897,898,31
240,241,30
1,722,3
63,990,1
163,164,30
0,603,1
467,468,30
602,991,1
601,602,29
244,602,3
130,253,12
466,467,29
0,63,1
603,712,1
602,603,28
129,713,1
254,990,1
62,216,7
63,215,12
241,713,4
129,254,10
1,798,3
224,344,1
723,798,2
658,659,26
1,527,3
583,584,25
726,727,25
243,344,1
984,985,25
0,728,3
344,712,1
727,728,24
657,658,24
0,723,9
983,984,24
343,344,23
713,798,7
216,243,5
1,712,4
527,528,23
1,990,7
526,527,22
722,799,6
712,991,6
62,225,1
225,999,2
243,244,18
242,798,1
253,254,17
241,242,17
224,225,17
0,252,1
215,216,16
62,713,1
63,129,1
130,722,1
797,798,16
223,224,16
242,712,1
798,799,16
595,596,16
989,990,15
990,991,15
214,215,15
61,62,15
62,63,15
128,129,15
722,723,15
129,130,15
711,712,15
252,253,15
721,722,14
712,713,14
342,343,8
0,1,1
723,843,1
224,528,1
528,991,2
344,596,1
225,990,2
0,829,2
173,897,1
658,728,2
215,799,2
25,62,1
343,991,1
215,713,2
710,860,1
129,600,1
343,563,1
493,596,1
197,597,1
63,530,1
97,580,2
193,224,2
584,897,2
445,723,1
468,722,2
63,243,2
775,799,2
103,467,1
242,659,2
247,527,1
710,828,2
244,299,2
810,985,2
254,822,1
344,935,2
129,455,1
907,984,1
596,723,1
62,688,1
592,603,1
343,750,1
827,918,1
24,597,1
48,658,1
422,991,1
253,313,1
224,585,1
83,527,1
373,689,1
254,479,1
164,527,1
710,756,1
344,802,1
19,984,1
130,202,1
130,586,1
216,253,1
597,875,1
63,93,1
332,467,1
468,584,1
343,803,1
