u,v,weight
301,302,25
527,528,25
889,890,25
150,151,25
921,922,25
770,771,25
393,394,25
981,982,25
619,620,25
242,243,25
830,831,25
91,92,25
862,863,25
711,712,25
224,225,25
334,335,25
922,923,25
183,184,25
771,772,25
954,955,25
803,804,25
32,33,25
165,166,25
275,276,25
863,864,25
124,125,25
895,896,25
744,745,25
367,368,25
955,956,25
216,217,25
804,805,25
987,988,25
1,63,1
65,66,25
836,837,25
276,277,25
198,199,25
308,309,25
896,897,25
157,158,25
745,746,25
928,929,25
368,369,25
6,7,25
988,989,25
139,140,25
249,250,25
837,838,25
460,461,25
98,99,25
309,310,25
341,342,25
929,930,25
190,191,25
778,779,25
401,402,25
39,40,25
172,173,25
282,283,25
870,871,25
493,494,25
131,132,25
342,343,25
962,963,25
585,586,25
223,224,25
811,812,25
434,435,25
72,73,25
283,284,25
677,678,25
315,316,25
903,904,25
526,527,25
164,165,25
375,376,25
769,770,25
995,996,25
618,619,25
256,257,25
467,468,25
316,317,25
710,711,25
559,560,25
197,198,25
408,409,25
257,258,25
651,652,25
289,290,25
500,501,25
349,350,25
743,744,25
560,561,25
592,593,25
441,442,25
652,653,25
290,291,25
684,685,25
501,502,25
533,534,25
382,383,25
593,594,25
231,232,25
625,626,25
474,475,25
685,686,25
323,324,25
717,718,25
534,535,25
566,567,25
777,778,25
415,416,25
38,39,25
626,627,25
264,265,25
658,659,25
869,870,25
507,508,25
718,719,25
356,357,25
567,568,25
961,962,25
599,600,25
810,811,25
448,449,25
71,72,25
659,660,25
691,692,25
508,509,25
902,903,25
540,541,25
751,752,25
12,13,25
600,601,25
994,995,25
632,633,25
843,844,25
481,482,25
104,105,25
692,693,25
541,542,25
935,936,25
573,574,25
784,785,25
13,14,25
45,46,25
633,634,25
665,666,25
482,483,23
844,845,25
105,106,25
876,877,25
725,726,25
936,937,25
574,575,25
968,969,25
785,786,25
817,818,25
46,47,25
78,79,25
666,667,25
877,878,25
515,516,25
138,139,25
909,910,25
758,759,25
969,970,25
607,608,25
19,20,25
230,231,25
818,819,25
456,457,25
79,80,25
850,851,25
699,700,25
322,323,25
910,911,25
548,549,25
171,172,25
759,760,25
942,943,25
791,792,25
20,21,25
414,415,25
52,53,25
640,641,25
263,264,25
851,852,25
112,113,25
883,884,25
732,733,25
355,356,25
943,944,25
204,205,25
792,793,25
975,976,25
824,825,25
53,54,25
447,448,25
673,674,25
296,297,25
884,885,25
145,146,24
916,917,25
765,766,25
388,389,25
976,977,25
26,27,25
237,238,25
825,826,25
86,87,25
857,858,24
480,481,25
297,298,25
329,330,25
917,918,25
178,179,25
766,767,25
949,950,25
389,390,25
27,28,25
421,422,25
238,239,25
270,271,25
858,859,25
119,120,25
330,331,25
362,363,25
950,951,25
211,212,25
799,800,25
422,423,25
60,61,25
454,455,25
271,272,22
303,304,25
891,892,25
514,515,25
152,153,25
740,741,25
363,364,25
1,2,25
395,396,25
212,213,25
983,984,25
606,607,25
244,245,25
832,833,25
455,456,25
93,94,25
304,305,25
698,699,25
336,337,25
924,925,25
547,548,25
185,186,25
396,397,25
428,429,25
245,246,25
639,640,25
277,278,25
488,489,25
126,127,25
337,338,25
731,732,25
369,370,25
186,187,25
957,958,25
580,581,25
218,219,25
429,430,25
278,279,25
672,673,25
310,311,25
521,522,25
370,371,25
764,765,25
402,403,25
219,220,25
581,582,25
613,614,25
462,463,25
311,312,25
705,706,25
522,523,25
554,555,25
403,404,25
614,615,25
252,253,25
646,647,25
495,496,25
706,707,25
344,345,25
738,739,25
555,556,25
193,194,25
587,588,25
798,799,25
436,437,23
59,60,25
647,648,25
285,286,25
679,680,25
496,497,25
890,891,25
528,529,25
739,740,25
377,378,25
588,589,25
982,983,25
620,621,25
831,832,25
469,470,25
92,93,25
680,681,25
712,713,25
529,530,25
923,924,25
561,562,25
184,185,25
772,773,25
410,411,25
33,34,25
621,622,25
653,654,25
470,471,25
864,865,25
502,503,25
125,126,25
713,714,25
562,563,25
956,957,25
594,595,25
805,806,25
34,35,25
66,67,25
654,655,25
686,687,25
503,504,25
897,898,25
158,159,25
746,747,25
7,8,25
595,596,25
62,63,24
63,64,24
0,1,21
1,597,1
0,598,1
484,690,1
483,691,1
146,857,1
145,858,1
0,437,2
1,436,2
