gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime
600,5,69,1,0.20687322899902938,35.71952013900045,35.92639336799948
700,1,61,26,12.326918692000618,5.4219570079985715,17.74887569999919
700,2,53,1,0.24936062500091793,12.69516029999977,12.944520925000688
700,3,40,1,0.2580065830006788,22.98528437799905,23.24329096099973
700,4,26,12,8.876936063999892,5.139573983000446,14.016510047000338
700,5,37,1,0.26066556600017066,18.14112970000133,18.4017952660015
800,1,8,1,0.40095471200038446,4.574311319000117,4.975266031000501
800,2,56,1,0.30167204000099446,36.40803719900032,36.70970923900131
800,3,31,1,0.2755288610005664,13.999073977998705,14.274602838999272
800,4,68,5,1.4911576979993697,46.88495303700074,48.37611073500011
800,5,5,1,0.30399193599987484,2.889605094000217,3.1935970300000918
900,1,62,19,27.83845752000161,37.42696279699885,65.26542031700046
900,2,37,21,39.80594274299983,14.84022946100049,54.64617220400032
900,3,50,6,2.321086665000621,20.004744726000354,22.325831391000975
900,4,61,13,4.624345025000366,14.809271281999827,19.433616307000193
900,5,33,1,0.4329611919984018,24.40502386300068,24.83798505499908
1000,1,38,3,1.5274763359993813,32.404550565001045,33.93202690100043
1000,2,33,2,0.9225793419991533,22.223396252000384,23.145975593999538
1000,3,58,1,0.4477507309984503,53.71460097400086,54.16235170499931
1000,4,10,1,0.488359954999396,9.198918170999605,9.687278125999
1000,5,50,3,1.8586224160007987,67.02430872999867,68.88293114599946
1500,1,50,1,1.042457479001314,116.90947519599831,117.95193267499963
1500,2,16,4,5.674857158999657,27.629981576999853,33.30483873599951
1500,3,56,7,8.820269899999403,97.66320624199943,106.48347614199884
1500,4,47,3,3.2753638140002295,69.60768398899927,72.8830478029995
1500,5,56,2,2.0370447219993366,115.481413634001,117.51845835600034
2000,1,17,4,8.810660356999506,44.989661912000884,53.80032226900039
2000,2,22,1,1.7668964139993477,76.21886341200116,77.9857598260005
2000,3,42,1,1.7359071230002883,149.36980918500012,151.1057163080004
2000,4,24,1,1.6330671940013417,74.70994475499901,76.34301194900036
2000,5,12,5,12.380272320000586,28.276827440999114,40.6570997609997
2500,1,6,7,28.21429781400002,5.652198387000681,33.8664962010007
2500,2,61,6,18.67308598499949,300.345014075001,319.0181000600005
2500,3,55,1,2.6792638349998015,332.0803495470009,334.7596133820007
2500,4,14,2,6.369842205998793,64.67600693800159,71.04584914400039
2500,5,41,9,32.68383295499916,159.21356764700067,191.89740060199983
3000,1,57,5,23.953635586998644,460.1741900740017,484.1278256610003
3000,2,11,1,3.0579355640002177,66.68981170499865,69.74774726899886
3000,3,3,3,11.638097693999953,6.1559414849998575,17.79403917899981
3000,4,29,3,11.095923814998969,180.35122543299985,191.44714924799882
3000,5,65,2,7.468099381001593,454.1712634259984,461.639362807
