gene size,replicate,genomes gt,genomes inf,core gt,core inf,core sd,runtime
450,1,23,23,450,438,12,23.49299177800276
450,2,45,45,450,338,112,74.2072166470025
450,3,66,66,450,450,0,165.44481651300157
450,4,54,55,450,22,428,108.91787077100162
450,5,5,5,450,450,0,2.0294434129973524
475,1,55,55,475,436,39,123.50517004299763
475,2,64,64,475,421,54,160.19667992599716
475,3,66,66,475,391,84,167.55771750999702
475,4,49,49,475,436,39,101.12705378199462
475,5,66,67,475,33,442,173.15132237500075
500,1,27,27,500,457,43,38.419447939995734
500,2,55,55,500,428,72,136.42490709100093
500,3,23,23,500,483,17,28.230947232004837
500,4,16,16,500,496,4,14.839872905999073
500,5,30,30,500,438,62,43.48924762000388
525,1,48,48,525,449,76,121.56647963000432
525,2,19,19,525,520,5,22.820058434997918
525,3,3,3,525,525,0,1.3790681890022825
525,4,22,22,525,512,13,29.305364282998198
525,5,53,53,525,491,34,144.9430718040021
550,1,70,70,550,441,109,264.6040454930044
550,2,32,32,550,550,0,64.03746283999499
550,3,56,56,550,480,70,168.52192261100572
550,4,34,34,550,550,0,69.81733204200282
550,5,23,23,550,545,5,33.89915937800106
575,1,20,21,575,25,550,29.438795405003475
575,2,37,37,575,517,58,84.48360534299718
575,3,25,25,575,562,13,44.11836488300469
575,4,41,41,575,503,72,129.85080241399555
575,5,13,13,575,560,15,17.665430521003145
600,1,11,11,600,595,5,14.267717721995723
600,2,5,5,600,594,6,4.270974972998374
600,3,35,35,600,524,76,93.2506152269998
600,4,55,55,600,559,41,239.84095940599946
600,5,21,21,600,569,31,35.335003501000756
625,1,19,19,625,625,0,31.849841231000028
625,2,9,9,625,619,6,9.233373577000748
625,3,66,66,625,593,32,296.39812909199827
625,4,35,35,625,614,11,91.74989724999614
625,5,62,62,625,467,158,252.16146475600544
650,1,68,68,650,608,42,346.20096490500146
650,2,70,70,650,650,0,378.94728130199655
650,3,50,50,650,596,54,188.15520512199873
650,4,30,30,650,557,93,72.32045275800192
650,5,11,11,650,641,9,13.737807681995037
675,1,62,62,675,452,223,286.0086127600007
675,2,48,48,675,675,0,196.98130052100169
675,3,63,64,675,36,639,317.0724114559998
675,4,3,3,675,675,0,2.2958275970013347
675,5,53,53,675,652,23,231.70160813799885
700,1,68,68,700,700,0,427.65699988799315
700,2,10,10,700,696,4,14.488115719999769
700,3,35,35,700,667,33,119.5777608549979
700,4,50,50,700,687,13,234.31930337399535
700,5,54,54,700,680,20,269.53003015000286
725,1,36,36,725,697,28,136.31542082999658
725,2,60,61,725,4,721,363.11313938999956
725,3,31,31,725,708,17,111.57438516800175
725,4,19,19,725,702,23,45.68010537800001
725,5,52,52,725,721,4,286.0169128070047
750,1,42,42,750,711,39,189.0281304989985
750,2,24,24,750,739,11,71.55436472199654
750,3,48,48,750,725,25,247.94638013399526
750,4,8,8,750,750,0,11.407639194003423
750,5,54,54,750,650,100,303.58212882899534
775,1,29,29,775,775,0,110.96372944100585
775,2,66,67,775,60,715,491.0850507550058
775,3,10,10,775,765,10,19.511617488999036
775,4,13,13,775,775,0,28.209363583002414
775,5,68,68,775,775,0,608.8336906479963
800,1,7,7,800,800,0,10.762049308999849
800,2,70,70,800,701,99,595.8662759929939
800,3,70,70,800,800,0,640.6201095249999
800,4,24,24,800,793,7,90.1408922010014
800,5,58,58,800,680,120,395.9676458850008
825,1,63,63,825,787,38,520.6003936150009
825,2,52,52,825,748,77,344.2367614190007
825,3,8,8,825,825,0,14.325299854004697
825,4,25,25,825,791,34,92.89862203499797
825,5,14,14,825,825,0,35.2524012319991
850,1,38,38,850,839,11,290.4983816849999
850,2,23,23,850,821,29,149.28927032000502
850,3,55,55,850,850,0,757.1579757520012
850,4,50,50,850,793,57,625.6946509000045
850,5,68,68,850,696,154,1094.1710046669978
875,1,50,50,875,841,34,661.7933677239998
875,2,60,60,875,763,112,691.4347756439965
875,3,64,64,875,875,0,604.5633076669983
875,4,70,70,875,765,110,704.4197598640021
875,5,15,15,875,875,0,45.35030631500558
900,1,27,27,900,900,0,128.93669479399978
900,2,70,70,900,866,34,752.318953920003
900,3,26,26,900,894,6,121.23474390400224
900,4,32,32,900,861,39,175.00291246700363
900,5,55,55,900,864,36,465.62022089999664
925,1,58,58,925,838,87,637.6345836870023
925,2,6,6,925,925,0,12.889566576996003
925,3,12,12,925,925,0,36.171115631004795
925,4,14,14,925,921,4,44.52701728299871
925,5,32,32,925,916,9,204.88894266600255
950,1,17,17,950,950,0,63.53391259699856
950,2,14,14,950,943,7,45.26730402300018
950,3,11,11,950,935,15,30.516509378998308
950,4,53,53,950,950,0,550.1681261859994
950,5,13,13,950,948,2,45.219992523001565
975,1,48,48,975,975,0,504.7439627080021
975,2,45,46,975,52,923,464.10139380599867
975,3,21,21,975,954,21,107.7942391539982
975,4,66,67,975,25,950,1102.0140727089965
975,5,45,45,975,935,40,533.2934193430046
1000,1,45,45,1000,980,20,625.934469701002
1000,2,47,48,1000,17,983,591.015193692001
1000,3,9,9,1000,1000,0,33.833810506999725
1000,4,48,48,1000,977,23,575.0889019259921
1000,5,35,35,1000,974,26,242.42216226199525
